"date","region","metric","smooth","proportion","value"
2020-01-14,"Guatemala","daily_total_icu",TRUE,TRUE,0
2020-01-14,"Thailand","daily_deaths",FALSE,FALSE,0
2020-01-14,"Thailand","daily_deaths",FALSE,TRUE,0
2020-01-14,"Thailand","daily_deaths",TRUE,FALSE,0
2020-01-14,"Thailand","daily_deaths",TRUE,TRUE,0
2020-01-14,"Thailand","daily_total_hospitalizations",FALSE,FALSE,0
2020-01-14,"Thailand","daily_total_hospitalizations",FALSE,TRUE,0
2020-01-14,"Thailand","daily_total_hospitalizations",TRUE,FALSE,0
2020-01-14,"Thailand","daily_total_hospitalizations",TRUE,TRUE,0
2020-01-14,"Thailand","daily_total_icu",FALSE,FALSE,0
2020-01-14,"Thailand","daily_total_icu",FALSE,TRUE,0
2020-01-14,"Thailand","daily_total_icu",TRUE,FALSE,0
2020-01-14,"Thailand","daily_total_icu",TRUE,TRUE,0
2020-01-15,"Guatemala","daily_deaths",FALSE,FALSE,0
2020-01-15,"Guatemala","daily_deaths",FALSE,TRUE,0
2020-01-15,"Guatemala","daily_deaths",TRUE,FALSE,0
2020-01-15,"Guatemala","daily_deaths",TRUE,TRUE,0
2020-01-15,"Guatemala","daily_total_hospitalizations",FALSE,FALSE,0
2020-01-15,"Guatemala","daily_total_hospitalizations",FALSE,TRUE,0
2020-01-15,"Guatemala","daily_total_hospitalizations",TRUE,FALSE,0
2020-01-15,"Guatemala","daily_total_hospitalizations",TRUE,TRUE,0
2020-01-15,"Guatemala","daily_total_icu",FALSE,FALSE,0
2020-01-15,"Guatemala","daily_total_icu",FALSE,TRUE,0
2020-01-15,"Guatemala","daily_total_icu",TRUE,FALSE,0
2020-01-15,"Guatemala","daily_total_icu",TRUE,TRUE,0
2020-01-15,"Thailand","daily_deaths",FALSE,FALSE,0
2020-01-15,"Thailand","daily_deaths",FALSE,TRUE,0
2020-01-15,"Thailand","daily_deaths",TRUE,FALSE,0
2020-01-15,"Thailand","daily_deaths",TRUE,TRUE,0
2020-01-15,"Thailand","daily_total_hospitalizations",FALSE,FALSE,0
2020-01-15,"Thailand","daily_total_hospitalizations",FALSE,TRUE,0
2020-01-15,"Thailand","daily_total_hospitalizations",TRUE,FALSE,0
2020-01-15,"Thailand","daily_total_hospitalizations",TRUE,TRUE,0
2020-01-15,"Thailand","daily_total_icu",FALSE,FALSE,0
2020-01-15,"Thailand","daily_total_icu",FALSE,TRUE,0
2020-01-15,"Thailand","daily_total_icu",TRUE,FALSE,0
2020-01-15,"Thailand","daily_total_icu",TRUE,TRUE,0
2020-01-16,"Guatemala","daily_deaths",FALSE,FALSE,0
2020-01-16,"Guatemala","daily_deaths",FALSE,TRUE,0
2020-01-16,"Guatemala","daily_deaths",TRUE,FALSE,0
2020-01-16,"Guatemala","daily_deaths",TRUE,TRUE,0
2020-01-16,"Guatemala","daily_total_hospitalizations",FALSE,FALSE,0
2020-01-16,"Guatemala","daily_total_hospitalizations",FALSE,TRUE,0
2020-01-16,"Guatemala","daily_total_hospitalizations",TRUE,FALSE,0
2020-01-16,"Guatemala","daily_total_hospitalizations",TRUE,TRUE,0
2020-01-16,"Guatemala","daily_total_icu",FALSE,FALSE,0
2020-01-16,"Guatemala","daily_total_icu",FALSE,TRUE,0
2020-01-16,"Guatemala","daily_total_icu",TRUE,FALSE,0
2020-01-16,"Guatemala","daily_total_icu",TRUE,TRUE,0
2020-01-16,"Thailand","daily_deaths",FALSE,FALSE,0
2020-01-16,"Thailand","daily_deaths",FALSE,TRUE,0
2020-01-16,"Thailand","daily_deaths",TRUE,FALSE,0
2020-01-16,"Thailand","daily_deaths",TRUE,TRUE,0
2020-01-16,"Thailand","daily_total_hospitalizations",FALSE,FALSE,0
2020-01-16,"Thailand","daily_total_hospitalizations",FALSE,TRUE,0
2020-01-16,"Thailand","daily_total_hospitalizations",TRUE,FALSE,0
2020-01-16,"Thailand","daily_total_hospitalizations",TRUE,TRUE,0
2020-01-16,"Thailand","daily_total_icu",FALSE,FALSE,0
2020-01-16,"Thailand","daily_total_icu",FALSE,TRUE,0
2020-01-16,"Thailand","daily_total_icu",TRUE,FALSE,0
2020-01-16,"Thailand","daily_total_icu",TRUE,TRUE,0
2020-01-17,"Guatemala","daily_deaths",FALSE,FALSE,0
2020-01-17,"Guatemala","daily_deaths",FALSE,TRUE,0
2020-01-17,"Guatemala","daily_deaths",TRUE,FALSE,0
2020-01-17,"Guatemala","daily_deaths",TRUE,TRUE,0
2020-01-17,"Guatemala","daily_total_hospitalizations",FALSE,FALSE,0
2020-01-17,"Guatemala","daily_total_hospitalizations",FALSE,TRUE,0
2020-01-17,"Guatemala","daily_total_hospitalizations",TRUE,FALSE,0
2020-01-17,"Guatemala","daily_total_hospitalizations",TRUE,TRUE,0
2020-01-17,"Guatemala","daily_total_icu",FALSE,FALSE,0
2020-01-17,"Guatemala","daily_total_icu",FALSE,TRUE,0
2020-01-17,"Guatemala","daily_total_icu",TRUE,FALSE,0
2020-01-17,"Guatemala","daily_total_icu",TRUE,TRUE,0
